,Job_name,Company_name
440, Kuryer , V Vadi.az 
441, Call Center Operator , T Teleport 
442, Commercial Specialist ,  Workplace Interiors LLC 
443, Pre-Contract Quantity Surveyor (Civil Construction) for Tender Team ,  Workplace Interiors LLC 
444, Tender Specialist ,  Workplace Interiors LLC 
445, Специалист по кадровому делопроизводству ,  Carlsberg Azerbaijan 
446, Продавец консультант ,  Xurcun 
447, Texniki Dəstək Şöbəsinin Mütəxəssisi ,  Express Bank 
448, Korporativ Katib ,  North West Construction 
449, Analitik/Monitorinq üzrə mütəxəssis ,  North West Construction 
450, İcma səfərbərliyi üzrə mütəxəssis ,  Qaçqınların və Məcburi Köçkünlərin İşləri üzrə Dövlət Komitəsi 
451, Senior Control & Instrumentation Engineer ,  PD&MS Group 
452, Mühasib ,  Grand Logistics Center 
453, Mühasib-operator (Xaçmaz) , A A+Co ASC 
458, Помошник Кост –Контроля ,  Restaurants by Emin Agalarov 
459, Satış təmsilçisi , R Retailor LLC 
460, Rentgen texniki , R Referans CLC 
461, Marketing manager ,  Salam Doktor Digital 
462, Marketoloq (SMM) ,  Capital Construction 
463, Forklift operatoru (Gəncə) , A AzerBlast MMC 
464, İT üzrə mütəxəssis ,  Kristal Abşeron 
465, İT texnik (kameralar üzrə) ,  Kristal Abşeron 
466, Innovation Analyst ,  PASHA Holding 
467, SOHO Sales Specialist , A Azerfon 
468, 3D Designer ,  Baku Shipyard LLC 
469, Mühasib , A Azəristiliktəchizat ASC 
470, Satıcı-Kassir (ağır texnikaların ehtiyyat hissələrinin satışı) , S Shinkar Holding 
471, Maliyyə üzrə təcrübəçi , M Mazarina Trade Company 
472, İnşaat mühəndisi ,  ATEF Şirkətlər Qrupu 
473, Smeta Mühəndisi ,  ATEF Şirkətlər Qrupu 
474, Smeta mühəndisi , A Aqroman 
475, Finance Specialist , A Advanced Industrial Solutions 
476, Auditor , A Army Group 
477, Aparıcı mühasib , A Army Group 
478, Sayım rəhbəri , A Army Group 
479, Story maker , V Vafa Aesthetic Clinic 
480, Satış meneceri , V Vafa Aesthetic Clinic 
481, Qeydiyyatçı , V Vafa Aesthetic Clinic 
482, İnsan resursları şöbə rəhbəri (Sumqayıt) ,  MKT İstehsalat Kommersiya MMC 
483, Assistant Buyer ,  PD&MS Group 
484, Logistika və Beynəlxalq yük daşımalar üzrə Mühasib , A Amoris 
485, Karyera məsləhətçisi ,  Div Academy 
486, Receptionist (Male) ,  North West Construction 
487, Satış nümayəndəsi , M Mazarina Trade Company 
488, Vergi uçotu üzrə mühasib ,  Araz Supermarket 
489, HR Manager ,  Div Academy 
490, Satış təmsilçisi ,  Money4you.financial MMC 
491, Xidmət mərkəzi işçisi ,  Money4you.financial MMC 
492, Biznes xidmət üzrə mütəxəssis ,  Express Bank 
493, Online Vizual Merçendayzer ,  Sinteks Group of Companies 
495, Leading Lawyer ,  General Supply 
496, Corporate Sales Internship Program ,  DEFSCOPE LLC 
497, Texniki ofis mühəndisi ,  Özgün İnşaat Taahhüt Sanayi ve Ticaret 
498, Onlayn satış üzrə kiçik mütəxəssis/mütəxəssis/aparıcı /baş mütəxəssis ,  TuranBank ASC 
499, CRM - Birbaşa satışlar üzrə kiçik mütəxəssis/mütəxəssis ,  TuranBank ASC 
500, İstehlak kreditləri üzrə kiçik mütəxəssis/mütəxəssis/aparıcı/baş mütəxəssis ,  TuranBank ASC 
501, Məlumat mərkəzi üzrə kiçik mütəxəssis/mütəxəssis/aparıcı/baş mütəxəssis ,  TuranBank ASC 
502, Problemli müştərilərlə iş üzrə təqibçi ,  Baku Electronics 
503, Etika və Uyğunluq üzrə Məmur (Ethics and Compliance Officer) ,  Norm OJSC 
504, Инструктор по мобильному приложению ,  Competo 
505, Kredit işçisi ,  Azərbaycan Mikro Kredit BOKT 
506, Sales manager ,  Cubics Technology 
507, Planning&Purchasing Specialist ,  Baku Electronics 
508, Financial Accountant ,  Azerbaijan SuperMarket 
509," Kiçik, Orta və Korporativ Müştərilər üzrə Mütəxəssis ",  Access Bank 
510, Commercial Assistant ,  PD&MS Group 
511, Satınalma üzrə mütəxəssis ,  Kristal Abşeron 
512, Satış məsləhətçisi , O OMİD Mağazalar şəbəkəsi 
513, Инженер по охране труда , T Tegeta Motors Baku 
514, Maliyyə şöbəsinə iqtisadçı ,  Dövlət qurumu 
515, Şöbə müdiri-baş mühasib ,  Dövlət qurumu 
516, Bitki baxıcısı (Sumqayıt) ,  Buta Group 
517, İnsan Resursları üzrə Mütəxəssis (Zirə) ,  Buta Group 
518, QA Administrator ,  PD&MS Group 
519, HSE Administrator ,  PD&MS Group 
520, CRM üzrə mütəxəssis ,  Neptun Supermarket 
521," IELTS, TOEFL, SAT müəllimi (28 May filialı) ",  A-Level Education Group 
523, Debitor Borclar üzrə Analitik ,  Matanat A 
524, Kreditor Borclar üzrə Analitik ,  Matanat A 
525," Mağaza meneceri (Elektronika – İmişli, Cəlilabad, Xaçmaz) ",  ELIT.EO 
526, Construction Manager ,  Workplace Interiors LLC 
527, Problemli kreditlər üzrə mütəxəssis ,  Ferrum Capital 
528, Krem-Bal istehsalı üçün qablaşdırma avadanlığının və xəttinin satın alınması məqsədi ilə sorğu , C CNFA 
529, Junior Marketing Specialist , C CG Ventures 
530, Tender Assistant ,  Workplace Interiors LLC 
531, Satıcı (xanım) ,  Superfon 
532, Satıcı - Kassir (Nərimanov filialı) , B Balli Bisi 
533, Mühasib ,  Portal Games 
534, Keyfiyyətə nəzarət üzrə mütəxəssis , M Modern Construction Group 
535, Kiçik mühasib ,  Ferrum Capital 
536, Ofis meneceri ,  Ferrum Capital 
537, 1C operator ,  BOA  Agency 
538, Procurement Specialist ,  Saffron Group 
539, Qaraj müdiri , G Göygöl Şərab Zavodu ASC 
540, Smetaçı-Mühəndis , N Nardaran İnvest 
541, Mühasib , E Esen Tekstil 
542," Təcrübə proqramı (Qəbələ, Şəki və Mingəçevir) ", G GL ASC 
543, Məlumat mərkəzi şöbəsinin mütəxəssisi ,  Express Bank 
544, Cost controller , I INEO Group 
545, SMM Menecer ,  GPS Solutions 
546, Business Analyst ,  Caspel 
547, Chief Accountant , C Company 
548, Texniki şöbə mühəndisi , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
549, Keyfiyyətə nəzarət üzrə mühəndis , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
550, Layihə rəhbəri , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
551, Psixoloq , K Kaspi Təhsil Şirkəti 
552, Həkim , K Kaspi Təhsil Şirkəti 
553, Mühafizəçi , K Kaspi Təhsil Şirkəti 
554, Учителя Дошкольного Образования , K Kaspi Təhsil Şirkəti 
555, HSE  Manager ,  Almet Holding 
556, Maliyyə Meneceri ,  PSG Finans BOKT 
557, Texniki Direktor ,  Katech 
558, Texniki mütəxəssis , S SR Group Co MMC 
559, Mağaza satış təmsilçisi , M Mobifon Electronics 
560, Model Validation Analyst ,  PASHA Holding 
561, Marketinq menecerinin köməkçisi , S SIREN TRADING 
562, Xarici satınalma üzrə mütəxəssis , P Puva Construction 
563, Marketinq üzrə təcrübə proqramı ,  Div Academy 
564, Tender üzrə mütəxəssis , P Puva Construction 
565, İnsan resursları üzrə mütəxəssis , A AZAQROTAXIL MMC 
566, Müştəri xidmətləri üzrə menecer ,  Star Express 
567, Qrafik dizayner ,  Code Academy 
568, Smeta mühəndisi , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
569, Texnik-santexnik , G GFC MMC 
570, Texnik-elektrik , G GFC MMC 
571, İngilis dili müəllimi ,  Old School Layihə və Təlim Mərkəzi 
572, Junior Marketing Officer , R realme 
573," Part-Time Remote Administrative Assistant (English, Russian, Azerbaijani) ", A AVT Group 
574, Seramika şöbəsində satış üzrə menecer , S Santral 
575, Kassir , S Santral 
576, Design engineer (for metal structures) , C Company 
577, Sales accountant , C Company 
578, Sales coordinator , C Company 
579, Beynəlxalq əlaqələr üzrə mütəxəssis , I Inci Group Of Companies 
580, Daxili Auditor , I Inci Group Of Companies 
581, Horeca satış mütəxəssisi , I Inci Group Of Companies 
582, Mühasib , I Inci Group Of Companies 
583, Əmək münasibətləri üzrə mütəxəssis ,  Azerbaijan SuperMarket 
584, Hüquq məsələləri üzrə məsləhətçi ,  Azerbaijan SuperMarket 
585, Marketinq Menecer , V VIP Aviation Services Company 
586, Brend Mağaza Meneceri , V VIP Aviation Services Company 
587, Sayım üzrə operator ,  AZZA Cake House 
588, Sales representative , C Caspian Auto Motors 
589, Santexnik ustası , W Wellmechs 
590, Reklam meneceri , C Caspident 
591, Planlama mühəndisi ,  Ramco CJSC 
592, Менеджер по корпоративным продажам ,  HERTZ Azerbaijan 
593, SƏTƏM üzrə menecer , Q Qalaalti Hotel & Spa 
594, Sənədləşmə üzrə mütəxəssis ,  Veysəloğlu MMC 
595, Product Owner , A Afea Group 
596, Targetinq üzrə mütəxəssis , R Resant Group 
597, Media planer , A Advert 
598, Тур менеджер , S STI Travel 
599, Financial Assistant ,  Predsol 
600, Office assistant ,  Huawei Technologies Azerbaijan 
601, Sayım üzrə mütəxəssis ,  Kontakt Home 
602, Korporativ Audit Rəhbəri , C Company 
603, İnventarizasiya mütəxəssisi , S SR Group Co MMC 
604, Rəqəmsal marketinq üzrə menecer , S SR Group Co MMC 
605, Xəzinadar , S SR Group Co MMC 
606, Java Developer ,  LSIM 
607," Senior Specialist, Information Management ", S SOCAR - KBR LLC 
608, Procurement Assistant ,  Sofcon Group 
609, Income auditor , S Sapphire Group 
610, L1 Support Engineer , S SIP LLC 
611, Младший специалист по корпоративным продажам/фермер (Junior B2B Sales Specialist) ,  Competo 
612, Satış üzrə məsləhətçi , T TradeOn 
613, Community Manager ,  Salam Doktor Digital 
614, Texniki işçi (Tibb sahəsi) , B BESAN MMC 
615, Satış meneceri (tibb sahəsi üzrə) , B BESAN MMC 
616, Anbardar ,  AZZA Cake House 
617, Xadimə ,  Coffeemania 
618, Project Manager (Payroll System) ,  Azərbaycan Dəmir Yolları 
619, Senior Oracle PL/SQL Developer ,  Azərbaycan Dəmir Yolları 
620, Xəzinədar , C Company 
621, Satış və Korporativ Müştərilərə Xidmət şöbəsinin Rəhbəri ,  VTB Bank 
622, Təcrübə proqramı , S SR Group Co MMC 
623, Əməyin mühafizəsi və Təhlükəsizlik texnikası üzrə Mühəndisi ,  Ikma 
626, Call Center & Customer Relationship Manager , P Pizza Mizza 
627, İnsan Resursları və Kargüzarlıq şöbəsinin Müdiri ,  Camal LTD 
628, Mühasib ,  AS Nagliyyat 
629, Problemli kreditlər üzrə işçi ,  Azərbaycan Mikro Kredit BOKT 
630, Daxili Audit ,  Azərbaycan Mikro Kredit BOKT 
632, Ofis meneceri , T TEZ Logistics 
633, Digital Marketing Specialist ,  By Telecom 
634, Заместитель заведующего складом-экспедитор (на личном автомобиле) ,  MUK Computers 
635, Satıcı-Kassir , R Reges Park 
636, Elektromexanik ,  Milla Dairy 
637, Promouter ,  Baku Electronics 
638, Anbar operatoru təcrübə proqramı ,  Kristal Abşeron 
639, Студенты закончившие 1 и 2 группы или на 3-4 курсе , W WisdoM education center 
640, English teacher , W WisdoM education center 
641, Video Monitorinq üzrə Kiçik Mütəxəssis ,  Sinteks Group of Companies 
642, Sürücü , F Freedom Finance Azerbaijan 
643, Kadrlar şöbəsinə baş mütəxəssis ,  İcbari Tibbi Sığorta üzrə Dövlət Agentliyi 
644, PSCM Specialist , O Oil and Gas Company 
645, Marketinq Direktoru , S Super Toys 
646, Integration Engineer , P PashaPay 
647, Horeca üzrə satış meneceri , A A+Co ASC 
648, Aqronom ,  Buta Group 
649, Satınalmalar üzrə köməkçi ,  Buta Group 
650," Night Shift Helpdesk, Network and Computer Systems Administrator ", P PITS Global Data Recovery Services 
651, Mühafizəçi ,  Ateshgah Sigorta 
652, Sistem və Cihazlara Dəstək üzrə Kiçik Mütəxəssis , O Open Networks 
653, Sahə üzrə satış müdiri (HoReCa) , M Mazarina Trade Company 
654, Daxili kommunikasiyalar və işçi bağlılığı üzrə mütəxəssis ,  Kontakt Home 
655, Texniki mühəndis , X Xaqani Ticarət Mərkəzi 
656, Böyük mühasib (xidmət sahəsi üzrə) , X Xaqani Ticarət Mərkəzi 
657," Kredit mütəxəssisi (Masallı, Lənkəran, Astara) ", G GL ASC 
658, Outlet manager , T The Landmark Hotel Baku 
659, Banquet Supervisor , T The Landmark Hotel Baku 
660, Tibb bacısı , I İdeal Tibb Şirkəti 
661, Qeydiyyat üzrə agent ,  Courtyard by Marriott Baku 
662, Operations Associate ,  Wolt 
663, Satış Məsləhətçisi (Şamaxı) ,  Kontakt Home 
664, Satınalma üzrə mütəxəssis ,  Başak Group 
665, Baş mühasib (Konsaltinq) , B BSC Consulting & Outsourcing Company 
666, Mühəndis-təchizatçı , F Fire Safety Caspian Azerbaijan 
667, Anbardar , Q Qala Group 
668, Memar , Q Qala Group 
669, Direktor köməkçisi , Q Qala Group 
670, İnsan Resursları üzrə Menecer , Q Qala Group 
671, Office/Site Administrator (female) , I IRES/Jobsearch 
672, Creative Content Strategist ,  RoarAds 
673, Kateqoriya üzrə aparıcı mütəxəssis (AL Market) ,  Azersun Holding 
674, Kompüter üzrə kiçik mütəxəssis (AL Market) ,  Azersun Holding 
675, Soyuducu avadanlıqların təmiri üzrə usta ,  AZZA Cake House 
676, Финансовый Менеджер ,  Gulfstream Distribution 
677, Office Manager ,  DEFSCOPE LLC 
678, General Administration Intern ,  DEFSCOPE LLC 
679, İdxal üzrə kiçik mütəxəssis ,  Araz Supermarket 
680, Auditor , C Company 
681, Faktorinq bölməsində kredit üzrə kiçik mütəxəssis/mütəxəssis ,  Ferrum Capital 
682, İlkin təqib üzrə kiçik mütəxəssis ,  Ferrum Capital 
683, Tender üzrə mütəxəssis ,  Grand Motors Company 
684, Filial müdiri (Qazax) ,  International BOKT 
685, Kredit mütəxəssisi (Qazax) ,  International BOKT 
686, Kredit mütəxəssisi (Tovuz) ,  International BOKT 
687, Консультант по продажам , I Italdizain Group 
688, Бренд-девелопер , I Italdizain Group 
690, Aqromühəndislik üzrə təcrübəçi ,  Qəbələ Aqropark 
691, Sales development representative , A Azprotech 
693, Anbardar ,  Kristal Abşeron 
694, Baş mühəndis ,  Başak Group 
695, Satış mütəxəssisi (dağıtım) ,  Başak Group 
696, Mühasib-operator (6 aylıq layihə) ,  Başak Group 
697, Arxiv işləri üzrə kiçik mütəxəssis ,  Sirab Satış və Dağıtım MMC 
698, Xarici Satınalma üzrə Qrup Rəhbəri , U Universal Group of Companies 
699, Network Equipment 1st Degree Specialist ,  Azerconnect 
700, Recruiting Specialist , R Resant Group 
701, İnsan Resursları üzrə Mütəxəssis , S Sahil Transport Construction 
702, Application Administrator (System Administrator) ,  FINCA Azerbaijan 
703, Copywriter/Translator , D Digital Classifieds 
704, Продавец консультант , A Aspekt Co MMC 
705," Tone of Voice Menecer, Marketinq Ekspert Mərkəzi /Agile ",  Kapital Bank 
706, Mühasib köməkçisi , C Company 
707, Elektrik mühərrikinə xidmətin göstərilməsi üzrə texnik , O Oil and Gas Company 
708, Marketoloq , R Restaurant 
709, Səyyar Kredit Mütəxəssisi , U Ultratek MMC 
710, Əməliyyatçı ,  Collezione Italia 
711, İnsan Resursları üzrə Mütəxəssis ,  Collezione Italia 
712, Специалист по микрокредитованию ,  VTB Bank 
713, Baş mühasib , M Mazarina Trade Company 
714, Kadrlar üzrə mütəxəssis , I İsmixanlı MMC 
715, Beynəlxalq əlaqələr üzrə mütəxəssis köməkçisi ,  Dövlət qurumu 
716, Anbardar-satıcı , S Sabah Group 
717, Sifarişlərin idarə olunması üzrə mütəxəssis , F Foriella 
719, Əməliyyatçı - Mühasib , G Gens Elektrik 
720, ERP Consultant (Accounting based) , E ERPGO 
721, Mühasib köməkçisi , C Compass International 
722, Satış təmsilçisi , M Medicals International 
723, Mühəndis-konstruktor ,  Sumgait Technologies Park 
725, Maliyyə üzrə Böyük Mütəxəssis , U Universal Group of Companies 
726, Finance Manager ,  Dərs Evi 
727, Marketing Manager ,  Dərs Evi 
728, Rəqəmsal xidmətlərin tətbiqi şöbəsinə Ekspert ,  Rabitabank OJSC 
729, Satınalma şöbəsinə mütəxəssis / aparıcı mütəxəssis , S STP - AH MMC 
730, Aparıcı mühasib , U Unitrade Group MMC 
733, Специалист IT департамента , A Aztrade 
734, İlkin təqib üzrə mütəxəssis ,  Texnomart Mağazalar Şəbəkəsi 
741, Maliyyə Analitiki ,  PASHA Bank 
742, Receptionist , P Providence Doytch Limited 
743, QHSE , O Oil Company 
744, İcraçı Direktor , N Nizami Tədris Mərkəzi 
745, Ассистент косметолога , A Asthetiklab 
746, Nəzarətçi ,  Huner Group 
747, İnsan resursları üzrə mütəxəssis ,  Huner Group 
748, Graphic & Motion Designer ,  Huner Group 
749, General English Teacher ,  Star Colleges 
750, Receptionist ,  Huner Group 
751, Service planner , O Oil Company 
752, Anbardar köməkçisi ,  Music Gallery 
753, Satış məsləhətçisi ,  Music Gallery 
754, Baş satış məsləhətçisi ,  Music Gallery 
755, Baş mühasib , Q Quba Palace Hotel 
756, Hüquqşünas ,  Zeytun Pharmaceuticals 
757, İnşaat mühəndisi ,  Cronos Construction 
758, Memar-Dizayner ,  Cronos Construction 
759, Anbardar ,  Cronos Construction 
760, Ofis proqramları (MS Office) üzrə müəllim , B British Academy 
761, Supplier Manager ,  AsstrA-Associated Traffic AG 
762, Korporativ satış üzrə assistent ,  Grand Motors Company 
763, Hüquqşünas , P PMD Hospitality 
764, Satış üzrə Mütəxəssis , B Bimtek 
765, Satış məsləhətçisi (Elektronika – Şüvəlan) ,  ELIT.EO 
766, IT technichian ,  European Azerbaijan School 
767, Mexanik (gecə növbəsi) ,  Facility Management Group 
768, Usta (Böyük məişət məhsulları) ,  Kontakt Home 
769, Стажировка , L Line Solution 
770, Account Receivable ,  Holiday Inn Baku 
771, Income auditor ,  Holiday Inn Baku 
772, Satışa dəstək üzrə mütəxəssis , F Freedom Finance Azerbaijan 
773, Elektrik malları üzrə satış nümayəndəsi , G Gens Elektrik 
775, Mühafizəçi (xanım) , R Resant Group 
776, Students Service Coordinator , L London School 
777, Smeta və xərclərə nəzarət üzrə mühəndis ,  UNICO 
778," İsitmə, ventilyasiya və kondisioner (İVK) sistemləri üzrə layihəçi mühəndis ",  ArchiCO 
781, Официант ,  Restaurants by Emin Agalarov 
782, SMM menecer , S Smile LLC 
783, Baş Elektrik , K Konfirom 
784, Dizayner , K Konfirom 
785, Fixed Operations Contact Centre Representative ,  Azerconnect 
786, Elektronçu ,  METAK 
787, Elektrik mühəndisi (Sumqayıt) ,  METAK 
788, SPA Receptionist , F FLY INN BAKU 
789, Qonaq xidməti üzrə agent , F FLY INN BAKU 
790, Ofisiant , F FLY INN BAKU 
791, Copywriter specialist , I INEO Group 
792, Elektrik mühəndisi , P Prometheus 
793, Elektrik , P Prometheus 
795, Пеший курьер (экспедитор) ,  Competo 
797, Mühasib ,  Veliev MMC 
798, SMM menecer ,  Bonamed 
799, Бухгалтер , A Abşeron Avtomobil Mərkəzi 
801, ERP консультант ,  Respect Solutions 
802, Çağrı Mərkəzinin Operatoru ,  Azərbaycan Mikro Kredit BOKT 
803, İşə Qəbul üzrə Kiçik Mütəxəssis , R Ram Holding 
804, Receptionist , A Azerbaijan International Mining Company 
805, Daxili Auditor ,  Unibank 
806, POS marketinq üzrə mütəxəssis ,  Araz Supermarket 
807, Fəhlə (Bakı) ,  Kontakt Home 
808, Skuterlər üzrə texnik ,  Kontakt Home 
809, Çatdırılma xidmətləri üzrə fəhlə (mebel) ,  Kontakt Home 
810, Çatdırılma xidmətləri üzrə fəhlə (məişət) ,  Kontakt Home 
811, Planning Engineer ,  PD&MS Group 
812, Audioloq , M Maymed- Avis MMC 
813, A Maintenance Technician ,  Port Baku Walk 
814, Mühasib , M Modern Construction Group 
815, B2B satış mütəxəssisi ,  Ferrum Capital 
816, Sekreter referent ,  Caspian Energy Club 
817, Tərcüməçi ,  Dövlət qurumu 
818, Administrative and Financial Specialist , I International Company 
819, Satıcı Konsultant , E EMMI Perfumery and Cosmetics 
820," Junior Cloud Platform Specialist (Microsoft Azure, Internship) ",  Respect Solutions 
821, Mühasib (Maliyyə xidmətləri üzrə işçi) ,  FINCA Azerbaijan 
822, Sales Manager (Branded Residences) ,  PASHA Development 
823, Sales Manager ,  Bolt Azerbaijan 
824, Rezervasiya Agenti , S SRC LLC 
825, Operator (Satış təmsilçisi) , M Massi 
826, İctimaiyyətlə əlaqələr üzrə mütəxəssis köməkçisi ,  Dövlət qurumu 
827, Marketinq mütəxəssisi ,  Para BOKT 
828, Planlanma üzrə mühəndis , G GSN 
829, Mühasib (konsaltinq) , U USG MMC 
830, Planning Coach (Consultant) , O Oil and Gas Company 
832," Satış müdiri (Jeep, Fiat, Fiat Professional, Dodge, Alfa Romeo brendləri üzrə) ",  Autolux Azerbaijan LLC 
833, 1C məsləhətçi ,  Financial Management 
834, İnformasiya təhlükəsizliyi şöbəsinin mütəxəssisi - Kiber təhlükəsizlik mühəndisi (Cyber security engineer) ,  Xalq Bank 
835, Project Manager ,  Azerlotereya 
836, Senior Business Process Owner ,  Azerlotereya 
837, Barmen , R Restaurant 
838, Satıcı - Kassir , B Boutique Bazaar 
839, Satış təmsilçisi , D Dinçer&Carçıoğlu BM 
841, Специалист Арт Департамента , R Resant Group 
842, Data Scientist ,  Competo 
843, Qablaşdırıcı ,  AZZA Cake House 
844, Sürücü-ekspeditor ,  AZZA Cake House 
846, Satıcı-kassir (xanım) , T Torte 
847, Satış təmsilçisi ,  Bouquet 
848, İnsan resursları üzrə mütəxəssis ,  Xurcun 
849, Elektromexanik , B Balaxanı Sənaye Parkı 
850, Daxili Audit departamentinin Mütəxəssisi ,  Express Bank 
851, Zəng Mərkəzi Operatoru , D Demirören Holding 
852, Marketinq meneceri , D Demirören Holding 
853, Mühasib , N Nardaran İnvest 
854, Kadrlar üzrə mühasib , W Wellmechs 
855, 1C operator , W Wellmechs 
856, Sürücü-ekspeditor , C Company 
857, Administrator , L Lea MMC 
858, Motion Dizayner , R Resant Group 
859, Fizika müəllimi (Rus bölməsi üzrə) ,  Landau School 
860, Genişzolaqlı xidmətlər şöbəsinin transmissiya üzrə mühəndisu ,  Aztelekom 
861, Məhsul üzrə mütəxəssis ,  Aztelekom 
862, Brend və reklam işi üzrə aparıcı mütəxəssis ,  Aztelekom 
863, Baş Mühasib (Ağdaş/Şamaxı/Yevlax/Masallı) ,  Aztelekom 
864, Energetika şöbəsinin müdiri (Sumqayıt/Masallı/Şamaxı/Ağdaş/Şirvan) ,  Aztelekom 
865, Satıcı , Y Yellow Mart 
866, Ofisiant ,  Sara Invest Holding 
867, Turizm meneceri , B BG Travel and Tourism 
868, Finance Specialist , M Megabiz Petrochemical Company 
869, Mühasib ,  ASIA Motors 
870, Fəhlə , C Chat-A-Chat 
871, Anbardar ,  ELIT.EO 
872, Story Manager , B Başkent Restoranlar Şəbəkəsi 
873, Project Manager ,  Div Academy 
874, Smeta mühəndisi , S Şuşa Şəhəri Dövlət Qoruğu İdarəsi 
875, Beynəlxalq münasibətlər və ictimaiyyətlə əlaqələr şöbəsinin müdir müavini , S Şuşa Şəhəri Dövlət Qoruğu İdarəsi 
876, Front Office Team Leader/Front Office Supervisor ,  Holiday Inn Baku 
877, Ofis meneceri , R Ricon MMC 
878, Armaturçu (Qəlibçi) , A Avro - Asiya İnşaat Korporasiyası “Evrascon” ASC 
879, Expediting specialist , S SOCAR Downstream Management 
880, Junior Test Automation Engineer (with free Training) ,  a1qa 
881, Junior QA Engineer (with free Training program) ,  a1qa 
882, International Logistic Specialist , O Oil and Gas Company 
883, SƏTƏM üzrə mühəndis ,  Kristal Abşeron 
